epoch,accuracy,loss,lr,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.47747769951820374,1.9129983186721802,0.001,0.6872912645339966,0.14045357704162598,8.501096725463867,0.2504233717918396
1,0.6929448843002319,1.0172958374023438,0.001,0.881380021572113,0.6487740278244019,1.377109169960022,0.8470657467842102
2,0.7775118947029114,0.723066508769989,0.001,0.9349443912506104,0.7990943193435669,0.6409400105476379,0.9413150548934937
3,0.8262115716934204,0.5540913343429565,0.001,0.9576113224029541,0.6090862154960632,1.6521011590957642,0.8190486431121826
4,0.8632885217666626,0.44113144278526306,0.001,0.9699177145957947,0.862307608127594,0.42091330885887146,0.9741919040679932
5,0.8836151361465454,0.3657151460647583,0.001,0.979094922542572,0.48361682891845703,2.9161570072174072,0.7079375386238098
6,0.9014436602592468,0.3062587082386017,0.001,0.9842488765716553,0.8655474781990051,0.44800716638565063,0.973050594329834
7,0.9142759442329407,0.26838216185569763,0.001,0.9869310259819031,0.8656947016716003,0.5025617480278015,0.9733819365501404
8,0.9432801008224487,0.17749863862991333,0.0005,0.9937153458595276,0.8592150807380676,0.4711099863052368,0.9673441052436829
9,0.9476452469825745,0.16601508855819702,0.0005,0.9939782619476318,0.9443708062171936,0.18547368049621582,0.9919740557670593
10,0.9499592185020447,0.1566692441701889,0.0005,0.9942149519920349,0.9549370408058167,0.14310863614082336,0.9949193596839905
11,0.9524310231208801,0.14984984695911407,0.0005,0.9949512481689453,0.9449598789215088,0.18470452725887299,0.9932994842529297
12,0.9547713398933411,0.14151129126548767,0.0005,0.9948197603225708,0.7391944527626038,1.4870929718017578,0.8767395615577698
13,0.9569538831710815,0.13855554163455963,0.0005,0.9950563907623291,0.9684485793113708,0.09873701632022858,0.9972755908966064
14,0.9590049982070923,0.1258247047662735,0.0005,0.9961608052253723,0.97220379114151,0.08733367919921875,0.997791051864624
15,0.9592416286468506,0.12605945765972137,0.0005,0.99595046043396,0.9571459889411926,0.13850955665111542,0.9955084323883057
16,0.9627389907836914,0.11644857376813889,0.0005,0.9961082339286804,0.919556736946106,0.26694145798683167,0.9864884614944458
17,0.9640011787414551,0.1123662143945694,0.0005,0.9968182444572449,0.8867535591125488,0.3792840540409088,0.9782048463821411
18,0.9719687700271606,0.08761955052614212,0.00025,0.9978700280189514,0.9775789976119995,0.06691930443048477,0.9991532564163208
19,0.9727839231491089,0.08137363940477371,0.00025,0.9981330037117004,0.9310065507888794,0.23348376154899597,0.9882188439369202
20,0.9767019748687744,0.07390128076076508,0.00025,0.9983959794044495,0.9842426776885986,0.046957869082689285,0.999300479888916
21,0.9756238460540771,0.0756709948182106,0.00025,0.9981067180633545,0.8976143002510071,0.3702738583087921,0.9745968580245972
22,0.9767546057701111,0.0715123638510704,0.00025,0.9985800385475159,0.9803033471107483,0.0592915304005146,0.9984537363052368
23,0.9785163998603821,0.06841597706079483,0.00025,0.9983170628547668,0.9824019074440002,0.055102117359638214,0.9990795850753784
24,0.9804096817970276,0.061374347656965256,0.000125,0.9989218711853027,0.9908328056335449,0.027849720790982246,0.999595046043396
25,0.9817507863044739,0.056953225284814835,0.000125,0.9987378120422363,0.9906119108200073,0.029468681663274765,0.9995213747024536
26,0.982618510723114,0.0543985478579998,0.000125,0.9987903833389282,0.9920477271080017,0.02517656609416008,0.9997054934501648
27,0.983749270439148,0.05334305018186569,0.000125,0.9987903833389282,0.9918636083602905,0.026021825149655342,0.9996318221092224
28,0.982618510723114,0.053332921117544174,0.000125,0.9989481568336487,0.9886974692344666,0.03401091322302818,0.9996318221092224
29,0.9841962456703186,0.04962065443396568,0.000125,0.9989744424819946,0.9910537004470825,0.027911903336644173,0.9997054934501648
30,0.9852743744850159,0.04696979373693466,6.25e-05,0.9990533590316772,0.9924526810646057,0.02286791242659092,0.9998159408569336
31,0.9853532910346985,0.04565534368157387,6.25e-05,0.9991585612297058,0.9928944706916809,0.02232799492776394,0.9998159408569336
32,0.9865102767944336,0.04370247200131416,6.25e-05,0.9992637038230896,0.9946984648704529,0.017342712730169296,0.9998159408569336
33,0.9861947298049927,0.04385067895054817,6.25e-05,0.9993163347244263,0.9900964498519897,0.030661311000585556,0.9996318221092224
34,0.9864314198493958,0.04310927912592888,6.25e-05,0.9991585612297058,0.9894706010818481,0.03353376314043999,0.9994845986366272
35,0.9877724647521973,0.039652757346630096,6.25e-05,0.9991322159767151,0.9927840232849121,0.024514568969607353,0.9997791051864624
36,0.9870362281799316,0.042451322078704834,3.125e-05,0.9990796446800232,0.989028811454773,0.03447511047124863,0.9995582103729248
37,0.9864577054977417,0.04178657382726669,3.125e-05,0.9993951916694641,0.9934835433959961,0.021215828135609627,0.9997791051864624
38,0.987509548664093,0.03980613872408867,3.125e-05,0.9992899894714355,0.9925263524055481,0.02334960550069809,0.9997422695159912
39,0.9880880117416382,0.039984315633773804,1.5625e-05,0.9992374181747437,0.9929681420326233,0.022475536912679672,0.9997791051864624
